authority,amount,balance,pool,poolShare,dailyRewardsRate,farmer
ErnjNveQkBbzD6jpBq3WcNee78drJeS3hprctHCFq8qG,42137.774266,2481469.862113189,Token FRAX,6.8796366154,43750,GYBoUtS9cARdA1E4xYbS6u455WcZ5gdZByPYvc8RKpgj
2YJFCtE8BhaWYV8dRtS9UkuMD62BkrcEo7pzAY8eLxpf,42085.738996,96798.360146957,Token LUNk,6.8711410598,43750,Rsr4tLwVYnERdnocaUMKQNUQJsjQF98mCnSvCCgCoZA
Ep5G8u6tTCpuLXuVPs9fHpw27FejFYUm3tDS4HWHHDTt,41852.193432,2883003.000101201,Token BUSD,6.8330111723,43750,4auMELZRnWEnJwnm5vg9iVJvM1LcZHwkEwJpUaSUaLsL
Fh6LA19Q2grLLvGP8oCJPMNVNZSTUUVu3AjXp7GwVp9d,41363.202202,191.27662913,Token SLPb,2.2510586236,131250,9s98CUczasixz16vQuDu6t1X8a4RWNG7YyfyX7Bz3JGi
9xkJ2Uue8Cptggnbfg2u5APcEc56iMsRENBY4yMfio9D,40988.21314,2630099.387048738,Token Daim,6.6919531653,43750,CK4JgagfXGMiAeAg5zP5yTYgM8HUH5RQyZJRUuvyqjQb
6LMDJn3quNgjithECiz6VENHWBHrC4YeRmT3kT4ZoouD,40960.47599,59822.751632879,Token PrsV,6.6874246511,43750,9S8EchkzehnUURe39RD7JnguPHvnFGdU5sTNqn8huzCD
HgBvhHeGkr6r4mxQ9Crtheb7MqqgkmTPMKMTQMxhcKcp,39129.96738,90000.003937428,Token LUNk,6.3885661028,43750,525YBjjYKar8doSMQJggaffJSC1xcx1kk7PVQW8RuLWJ
H8oGkbCEdXw6bTCcuV79U23zfMnWJ9fLUKFoGpCCxqx6,39058.452034,89835.51666182,Token LUNk,6.3768901274,43750,9G8673RxLPFErirsnDxR7bwBYaex2jwmQ1A3uJSm58gv
GWUMQGhdSzkZoBAjKENv6CCEF8B9a8WNQDQXR7Z5jETB,38970.948114,4871506.29386819,Token UST3,1.2725207549,218750,6vU3AUQnvuyofEUWCMXRxJKt3zt6nEnwauNBRyyEJcEh
6mk4G3dsJ7A79UtVkdxdepvrrinx5KnJ1xbEH7Nbvggo,37963.510676,4745573.050929391,Token UST3,1.2396248382,218750,F6qwMx5nc73dtPo5GSi4sSibb14paX1L8cRpGmTZbTgz
9xgAHb71xSrJXFhvbRhQKvpvHKurTZNevQXiVhviYjRD,37776.360314,4722178.594213337,Token UST3,1.2335138060,218750,6dv7vwJw4nre5e6RhS9BqKj9fT15jTLp4rRJUTweURrV
9kMVmVYaFgU8hin49geVr4EsNhmQYvRNWZuHoFgbPRhk,37683.70893,78.13886455,Token pBTC,6.1524422739,43750,5tWoDvwCEi3AoBSTgHoLwd1bV4vmjYdjtEk2uveYXiWs
waUrasBXsVoYHXU4aDCzXWRXoQrz8LyX39iwSDLXJCk,35512.18762,51865.529595469,Token PrsV,5.7979081820,43750,C7u74FWDCu7CJ8qQttWwt7Ub9CahYvBwjcKARtwA39Mc
8hYo8VSqPDBrPK65da6xME9oYyszZRsymM8ckgGBHf6T,35240.224922,1690937.957,Token uSdK,5.7535061093,43750,ATNt3cr3zkoZEyHP4iajj5yCTThsGFtUP34sq6XvmeE4
CWjTy7iDMFzogAnDsUGVUDYtNVwETazkSXXQXyUBUHw5,34565.285832,4320782.931645756,Token UST3,1.1286623944,218750,4mnuLHtBvs5LA8vxpnUcfvfNuf8nRhSfiRvAuuyRVNNi
3eoUCCBE12AoKKBGdAa65zNoCgotqZXH6Qua3tCihjcA,34394.366622,109056.453750067,Token SoLE,2.8077033979,87500,8o1QWFiDQnsbCSB2AuSvr5e5ydGJKfdiPTaPNuQ29tNj
5CL77NpfsXJA6UmqmwsjxgN1C3NYdYrtucophDKTNncd,34100.631782,49803.953106434,Token PrsV,5.5674500861,43750,HTPXLbQ7ZE3pyKVNJijzzYDKpHWQ8AB9L24vb7AZRzQ
AE9kBdM52rCcwSBMUGUBVkK5JAcwXeZSESwovbvqUpcL,33997.756282,3306819.82160776,Token HUSD,5.5506540865,43750,AAwoDpG2XSBYu2pK1ZY2sTVSCdTbxhti1ReUNDQFZN4s
BD5VfMsX94kTfMYZN4dVbM7CknttaCWqDyZkwwafM4Qr,33978.659022,78151.852661872,Token LUNk,5.5475361660,43750,GY8QYavCs2xZudZH2VjNuEqsisiMbGBpQhhUvxeTBRpt
DZcuKJ77fkEQhoqUUFF2NqzQzNaA2HtYCK7oF4wi6HmA,33851.490974,1993495.292584164,Token FRAX,5.5267740370,43750,EmPj7CgE6jM8qxL5dMeY3iAsuohD95EGU9bB7p7haYot
FJ7HbdznxhiChKwE8bPXuSUdDzfWSFzan8wA1bFMrMpf,33753.838748,1987744.607760829,Token FRAX,5.5108308162,43750,8KSipVEMDgTxwjrFmt7Bjm3zLTdmpYqH56WQbjAhsHq
Ep5G8u6tTCpuLXuVPs9fHpw27FejFYUm3tDS4HWHHDTt,33376.059682,2141648.71766954,Token Daim,5.4491526008,43750,9UcRpxWaDQpqxt6ZpLp9CJvdWLM2newqwnEPFq7kvvtq
FM5AWd8teeJUCuTMFH1FDDnPnw1owNvzAfLHex1NZF8b,33363.57437,5084683.803055,Token PaiY,5.4471141820,43750,AM6EVFGNfYkMpPUCM2KAr3HpTmGf1pYJNRuidaJNaRwo
AP9sm9wZ7Dw8HDQj8UHr4WH8M7xqTmSZL9ubENnHTStz,33285.45857,4160800,Token UST3,1.0868721167,218750,4XsC4WWn2FMaZ5B6nf3qPBnDGPQLjnFhoNCkzDsHT9Xa
Dpft9hXYbDynFPKw8mJcZnQnQAurFFAtEnKJBD3n5t9F,33173.879508,5055773.880497,Token PaiY,5.4161435936,43750,BtXM245xZvgunaPZjPX7jExTupZt7Kn6x38zdrYdDfQT
AuBXF2h9N38S1DAVaK3tjjRTazXSoyrAEGYEJc5siyn4,32035.816946,66.42770661,Token pBTC,5.2303374595,43750,7pFs2B28WtwnpU9KUvMPY9hbmSnDDGMXTY2UhhweFdd8
